cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,poisonous,Prediction,Confidence,Accuracy
Convex,Smooth,Gray,No,None,Free,Crowded,Broad,Pink,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses,Edible,Edible,0.9929771898864925,Correct
Flat,Scaly,Brown,Bruises,Pungent,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Several,Urban,Poisonous,Poisonous,0.8697106945797369,Correct
Convex,Fibrous,Gray,No,None,Free,Crowded,Broad,Pink,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Black,Abundant,Grasses,Edible,Edible,0.9858253100223224,Correct
Convex,Smooth,Gray,No,None,Free,Crowded,Broad,Chocolate,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,One,Evanescent,Black,Abundant,Grasses,Edible,Edible,0.9744342161977997,Correct
Convex,Fibrous,Gray,No,None,Free,Crowded,Broad,Chocolate,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,One,Evanescent,Black,Scattered,Grasses,Edible,Edible,0.9721678803830769,Correct
Convex,Scaly,Brown,Bruises,Pungent,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses,Poisonous,Poisonous,0.8063715690759844,Correct
Convex,Fibrous,Brown,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses,Edible,Edible,0.9931123368296667,Correct
Flat,Smooth,White,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,One,Evanescent,Brown,Scattered,Grasses,Edible,Edible,0.9780384147278334,Correct
Convex,Fibrous,Gray,No,None,Free,Crowded,Broad,Chocolate,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Brown,Scattered,Grasses,Edible,Edible,0.9539723394132552,Correct
Convex,Scaly,Brown,Bruises,Pungent,Free,Close,Narrow,White,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses,Poisonous,Poisonous,0.8063715690759844,Correct
Flat,Fibrous,Brown,No,None,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses,Edible,Edible,0.9918797489515296,Correct
Flat,Smooth,White,No,None,Free,Crowded,Broad,Brown,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,One,Evanescent,Black,Abundant,Grasses,Edible,Edible,0.9812691732286168,Correct
Convex,Scaly,White,Bruises,Pungent,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Several,Urban,Poisonous,Poisonous,0.8777461390154215,Correct
Flat,Fibrous,Gray,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses,Edible,Edible,0.9918797489515296,Correct
Bell,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Grasses,Edible,Edible,0.9472615020238601,Correct
Convex,Smooth,Brown,No,None,Free,Crowded,Broad,Chocolate,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses,Edible,Edible,0.995171080775379,Correct
Flat,Fibrous,Brown,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,One,Evanescent,Black,Abundant,Grasses,Edible,Edible,0.9876246995198927,Correct
Flat,Smooth,White,Bruises,Pungent,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses,Poisonous,Poisonous,0.7889480271993149,Correct
Convex,Scaly,Brown,Bruises,Almond,Free,Close,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses,Edible,Edible,0.9280315982590682,Correct
Flat,Fibrous,White,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,One,Evanescent,Black,Abundant,Grasses,Edible,Edible,0.9808375185523579,Correct
Flat,Scaly,Brown,Bruises,Anise,Free,Close,Broad,Pink,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses,Edible,Edible,0.9224344866189876,Correct
Flat,Fibrous,Gray,No,None,Free,Crowded,Broad,Pink,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Black,Scattered,Grasses,Edible,Edible,0.9834739673918277,Correct
Flat,Fibrous,Gray,No,None,Free,Crowded,Broad,Brown,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,One,Evanescent,Brown,Scattered,Grasses,Edible,Edible,0.9903132330051422,Correct
Flat,Smooth,Gray,No,None,Free,Crowded,Broad,Chocolate,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,One,Evanescent,Brown,Scattered,Grasses,Edible,Edible,0.9929047449606562,Correct
Flat,Fibrous,Brown,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,One,Evanescent,Black,Scattered,Grasses,Edible,Edible,0.9848255956953682,Correct
Convex,Smooth,Gray,No,None,Free,Crowded,Broad,Chocolate,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Brown,Scattered,Grasses,Edible,Edible,0.9539723394132552,Correct
Convex,Fibrous,White,No,None,Free,Crowded,Broad,Pink,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,One,Evanescent,Black,Scattered,Grasses,Edible,Edible,0.9774716131084001,Correct
Flat,Fibrous,White,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,One,Evanescent,Black,Abundant,Grasses,Edible,Edible,0.9850925679839946,Correct
Convex,Smooth,Brown,No,None,Free,Crowded,Broad,Pink,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,One,Evanescent,Brown,Scattered,Grasses,Edible,Edible,0.989746431385709,Correct
Convex,Fibrous,Brown,Bruises,None,Free,Close,Broad,Pink,Tapering,Bulbous,Smooth,Smooth,Pink,Pink,Partial,White,One,Pendant,Black,Several,Woods,Edible,Edible,0.9869981005785821,Correct
Flat,Smooth,Yellow,Bruises,Almond,Free,Crowded,Narrow,Pink,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,One,Pendant,Purple,Several,Woods,Edible,Edible,0.7866351363549333,Correct
Convex,Fibrous,White,No,None,Free,Crowded,Broad,Pink,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Black,Scattered,Grasses,Edible,Edible,0.9766867864242929,Correct
Flat,Smooth,White,No,None,Free,Crowded,Broad,Pink,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Black,Abundant,Grasses,Edible,Edible,0.9794697837310465,Correct
Bell,Smooth,Yellow,Bruises,Almond,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Grasses,Edible,Edible,0.943837624891929,Correct
Convex,Fibrous,White,No,None,Free,Crowded,Broad,Chocolate,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses,Edible,Edible,0.9871513119297071,Correct
Convex,Fibrous,Gray,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,One,Evanescent,Black,Abundant,Grasses,Edible,Edible,0.9918797489515296,Correct
Flat,Smooth,Brown,Bruises,Pungent,Free,Close,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Urban,Poisonous,Poisonous,0.8697106945797369,Correct
Convex,Fibrous,Gray,No,None,Free,Crowded,Broad,Brown,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,One,Evanescent,Black,Abundant,Grasses,Edible,Edible,0.9876246995198927,Correct
Convex,Smooth,Brown,Bruises,Pungent,Free,Close,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses,Poisonous,Poisonous,0.8068331075375229,Correct
Flat,Smooth,White,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,One,Evanescent,Brown,Scattered,Grasses,Edible,Edible,0.9835260520376071,Correct
Convex,Scaly,White,Bruises,Almond,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Grasses,Edible,Edible,0.9468396815261393,Correct
Convex,Fibrous,Brown,No,None,Free,Crowded,Broad,Chocolate,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Black,Scattered,Grasses,Edible,Edible,0.9539723394132552,Correct
Convex,Fibrous,Brown,Bruises,None,Free,Close,Broad,Brown,Tapering,Bulbous,Smooth,Smooth,White,Pink,Partial,White,One,Pendant,Brown,Solitary,Woods,Edible,Edible,0.9741611925673409,Correct
Bell,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses,Edible,Edible,0.9183633371282237,Correct
Flat,Fibrous,White,No,None,Free,Crowded,Broad,Chocolate,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses,Edible,Edible,0.9490037330664133,Correct
Convex,Smooth,Brown,No,None,Free,Crowded,Broad,Brown,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses,Edible,Edible,0.9880563541961517,Correct
Flat,Fibrous,White,No,None,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses,Edible,Edible,0.9796049306742208,Correct
Convex,Fibrous,Brown,Bruises,None,Free,Close,Broad,Pink,Tapering,Bulbous,Smooth,Smooth,White,Pink,Partial,White,One,Pendant,Brown,Several,Woods,Edible,Edible,0.9728095642638004,Correct
Flat,Fibrous,White,No,None,Free,Crowded,Broad,Chocolate,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,One,Evanescent,Brown,Scattered,Grasses,Edible,Edible,0.9853327373090139,Correct
Convex,Smooth,White,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,One,Evanescent,Black,Abundant,Grasses,Edible,Edible,0.9855242226602536,Correct
Convex,Smooth,Brown,No,None,Free,Crowded,Broad,Brown,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses,Edible,Edible,0.9935439915059256,Correct
Convex,Fibrous,White,No,None,Free,Crowded,Broad,Brown,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,One,Evanescent,Brown,Scattered,Grasses,Edible,Edible,0.9780384147278334,Correct
Flat,Smooth,Gray,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,One,Evanescent,Black,Scattered,Grasses,Edible,Edible,0.9848255956953682,Correct
Convex,Fibrous,Gray,No,None,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses,Edible,Edible,0.9863921116417557,Correct
Convex,Fibrous,Gray,No,None,Free,Crowded,Broad,Chocolate,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,One,Evanescent,Black,Abundant,Grasses,Edible,Edible,0.995171080775379,Correct
Flat,Smooth,Brown,No,None,Free,Crowded,Broad,Chocolate,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,One,Evanescent,Black,Abundant,Grasses,Edible,Edible,0.9744342161977997,Correct
Flat,Smooth,White,No,None,Free,Crowded,Broad,Pink,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,One,Evanescent,Black,Abundant,Grasses,Edible,Edible,0.9861900089189575,Correct
Flat,Scaly,Brown,Bruises,Almond,Free,Close,Broad,Brown,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Solitary,Paths,Edible,Edible,0.9428531163569253,Correct
Convex,Scaly,White,Bruises,Pungent,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Grasses,Poisonous,Poisonous,0.7889663470141118,Correct
Flat,Smooth,Gray,No,None,Free,Crowded,Broad,Chocolate,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,One,Evanescent,Black,Abundant,Grasses,Edible,Edible,0.9744342161977997,Correct
Convex,Scaly,White,Bruises,Pungent,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Several,Grasses,Poisonous,Poisonous,0.7889663470141118,Correct
Bell,Scaly,White,Bruises,Almond,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Meadows,Edible,Edible,0.922901898034481,Correct
Convex,Smooth,Gray,No,None,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Black,Scattered,Grasses,Edible,Edible,0.9840407690112609,Correct
Flat,Fibrous,Gray,No,None,Free,Crowded,Broad,Chocolate,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,One,Evanescent,Black,Abundant,Grasses,Edible,Edible,0.9939384928972419,Correct
Flat,Fibrous,White,No,None,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,One,Evanescent,Brown,Scattered,Grasses,Edible,Edible,0.9827412253534998,Correct
Flat,Smooth,Gray,No,None,Free,Crowded,Broad,Chocolate,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,One,Evanescent,Black,Scattered,Grasses,Edible,Edible,0.9929047449606562,Correct
Bell,Scaly,White,Bruises,Almond,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Grasses,Edible,Edible,0.9434143000814127,Correct
Convex,Fibrous,Gray,No,None,Free,Crowded,Broad,Brown,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,One,Evanescent,Black,Scattered,Grasses,Edible,Edible,0.9848255956953682,Correct
Convex,Fibrous,Red,Bruises,None,Free,Close,Broad,Pink,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Woods,Edible,Edible,0.9669309764866356,Correct
Convex,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,Pink,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Scattered,Paths,Edible,Edible,0.9311634893851786,Correct
Convex,Smooth,White,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,One,Evanescent,Black,Scattered,Grasses,Edible,Edible,0.9835260520376071,Correct
Bell,Smooth,White,Bruises,Almond,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Meadows,Edible,Edible,0.9401389321463854,Correct
Convex,Smooth,Brown,Bruises,Pungent,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Several,Grasses,Poisonous,Poisonous,0.8073129658138585,Correct
Convex,Fibrous,Brown,Bruises,None,Free,Close,Broad,Pink,Tapering,Bulbous,Smooth,Smooth,Pink,Pink,Partial,White,One,Pendant,Black,Solitary,Woods,Edible,Edible,0.9877829272626893,Correct
Flat,Smooth,Brown,No,None,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Black,Scattered,Grasses,Edible,Edible,0.9840407690112609,Correct
Bell,Smooth,White,Bruises,Almond,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Meadows,Edible,Edible,0.9434143000814127,Correct
Convex,Smooth,Gray,No,None,Free,Crowded,Broad,Brown,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,One,Evanescent,Black,Scattered,Grasses,Edible,Edible,0.9848255956953682,Correct
Convex,Fibrous,Brown,Bruises,None,Free,Close,Broad,Purple,Tapering,Bulbous,Smooth,Smooth,Pink,Gray,Partial,White,One,Pendant,Black,Several,Woods,Edible,Edible,0.9863985288441066,Correct
Flat,Fibrous,White,No,None,Free,Crowded,Broad,Pink,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses,Edible,Edible,0.9857583542426985,Correct
Convex,Fibrous,Brown,No,None,Free,Close,Narrow,Gray,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Several,Urban,Edible,Edible,0.719622137854303,Correct
Convex,Fibrous,Gray,No,None,Free,Close,Narrow,Gray,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Several,Urban,Edible,Edible,0.719622137854303,Correct
Convex,Fibrous,Gray,No,None,Free,Close,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Solitary,Urban,Edible,Edible,0.785196117606526,Correct
Bell,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Meadows,Edible,Edible,0.9418809410396248,Correct
Flat,Fibrous,Brown,No,None,Free,Close,Narrow,Gray,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Urban,Edible,Edible,0.7086554711876363,Correct
Convex,Fibrous,White,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses,Edible,Edible,0.9850925679839946,Correct
Flat,Scaly,Brown,Bruises,Almond,Free,Close,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Scattered,Paths,Edible,Edible,0.9305639176507031,Correct
Convex,Scaly,Brown,Bruises,Anise,Free,Close,Broad,Pink,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Solitary,Paths,Edible,Edible,0.9311689365746507,Correct
Convex,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,Pink,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Solitary,Grasses,Edible,Edible,0.9282752664224234,Correct
Flat,Fibrous,Gray,No,None,Free,Crowded,Broad,Chocolate,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses,Edible,Edible,0.9744342161977997,Correct
Convex,Scaly,White,Bruises,Almond,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Grasses,Edible,Edible,0.9436397778541115,Correct
Convex,Scaly,White,Bruises,Almond,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses,Edible,Edible,0.9252363703882983,Correct
Flat,Smooth,White,No,None,Free,Crowded,Broad,Brown,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses,Edible,Edible,0.9867568105383907,Correct
Flat,Smooth,Gray,No,None,Free,Crowded,Broad,Chocolate,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Black,Abundant,Grasses,Edible,Edible,0.9557909140339482,Correct
Flat,Smooth,Brown,Bruises,Pungent,Free,Close,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Several,Urban,Poisonous,Poisonous,0.8697106945797369,Correct
Convex,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses,Edible,Edible,0.9218641828359496,Correct
Convex,Fibrous,Brown,No,None,Free,Crowded,Broad,Pink,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Brown,Scattered,Grasses,Edible,Edible,0.9834739673918277,Correct
Convex,Fibrous,White,No,None,Free,Crowded,Broad,Pink,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,One,Evanescent,Black,Scattered,Grasses,Edible,Edible,0.982959250418174,Correct
Convex,Smooth,Yellow,Bruises,Anise,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Meadows,Edible,Edible,0.9204274481580286,Correct
Convex,Fibrous,Red,Bruises,None,Free,Close,Broad,Pink,Tapering,Bulbous,Smooth,Smooth,Gray,Pink,Partial,White,One,Pendant,Brown,Several,Woods,Edible,Edible,0.9869981005785821,Correct
Flat,Scaly,Brown,Bruises,Anise,Free,Close,Broad,Pink,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Brown,Scattered,Paths,Edible,Edible,0.9249668060106226,Correct
Bell,Smooth,White,Bruises,Almond,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Grasses,Edible,Edible,0.9434143000814127,Correct
Convex,Smooth,Brown,Bruises,Pungent,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses,Poisonous,Poisonous,0.8068331075375229,Correct
Convex,Fibrous,Gray,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,One,Evanescent,Black,Scattered,Grasses,Edible,Edible,0.9848255956953682,Correct
Bell,Scaly,White,Bruises,Almond,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Meadows,Edible,Edible,0.941305305500294,Correct
Convex,Smooth,White,Bruises,Anise,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Grasses,Edible,Edible,0.94679329366203,Correct
Bell,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Meadows,Edible,Edible,0.9195297104821323,Correct
Convex,Scaly,White,Bruises,Anise,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Grasses,Edible,Edible,0.9458972816321338,Correct
Convex,Smooth,Yellow,Bruises,Almond,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Grasses,Edible,Edible,0.9491016395937618,Correct
Bell,Smooth,White,Bruises,Almond,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Grasses,Edible,Edible,0.9401389321463854,Correct
Flat,Smooth,Brown,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Black,Scattered,Grasses,Edible,Edible,0.9840407690112609,Correct
Flat,Smooth,White,Bruises,Pungent,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses,Poisonous,Poisonous,0.7889480271993149,Correct
Flat,Smooth,Brown,No,None,Free,Crowded,Broad,Chocolate,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses,Edible,Edible,0.9557909140339482,Correct
Flat,Fibrous,Brown,No,None,Free,Crowded,Broad,Chocolate,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Black,Abundant,Grasses,Edible,Edible,0.9557909140339482,Correct
Flat,Scaly,White,Bruises,Pungent,Free,Close,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Urban,Poisonous,Poisonous,0.877266280739086,Correct
Flat,Smooth,White,No,None,Free,Crowded,Broad,Chocolate,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,One,Evanescent,Black,Abundant,Grasses,Edible,Edible,0.9676470352302647,Correct
Convex,Fibrous,White,No,None,Free,Crowded,Broad,Pink,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Brown,Scattered,Grasses,Edible,Edible,0.9766867864242929,Correct
Convex,Smooth,Brown,No,None,Free,Crowded,Broad,Pink,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,One,Evanescent,Black,Abundant,Grasses,Edible,Edible,0.9917446020083553,Correct
Flat,Smooth,Brown,No,None,Free,Crowded,Broad,Pink,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Black,Abundant,Grasses,Edible,Edible,0.9862569646985814,Correct
Flat,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,Brown,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Solitary,Grasses,Edible,Edible,0.9428531163569253,Correct
Convex,Fibrous,Gray,No,None,Free,Crowded,Broad,Brown,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,One,Evanescent,Black,Abundant,Grasses,Edible,Edible,0.9931123368296667,Correct
Convex,Fibrous,Brown,No,None,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Black,Abundant,Grasses,Edible,Edible,0.9863921116417557,Correct
Flat,Smooth,Brown,Bruises,Pungent,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Grasses,Poisonous,Poisonous,0.8073129658138585,Correct
Convex,Smooth,White,No,None,Free,Crowded,Broad,Pink,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses,Edible,Edible,0.9861900089189575,Correct
Flat,Fibrous,Brown,No,None,Free,Crowded,Broad,Pink,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,One,Evanescent,Black,Scattered,Grasses,Edible,Edible,0.984258794075935,Correct
Flat,Fibrous,White,No,None,Free,Crowded,Broad,Chocolate,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses,Edible,Edible,0.9883838998078441,Correct
Flat,Fibrous,White,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,One,Evanescent,Brown,Scattered,Grasses,Edible,Edible,0.9835260520376071,Correct
Convex,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,Brown,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses,Edible,Edible,0.9317302910046118,Correct
Convex,Smooth,Gray,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,One,Evanescent,Brown,Scattered,Grasses,Edible,Edible,0.9903132330051422,Correct
Convex,Fibrous,Gray,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses,Edible,Edible,0.9931123368296667,Correct
Flat,Fibrous,Brown,No,None,Free,Crowded,Broad,Chocolate,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,One,Evanescent,Black,Scattered,Grasses,Edible,Edible,0.9929047449606562,Correct
